# 30 UK Public General Acts for Version-Aware RAG evaluation.
# Format: {type} {year} {number}    # {short_title}
# Lines starting with # and blank lines are ignored.

ukpga 2018 12    # Data Protection Act 2018
ukpga 2010 15    # Equality Act 2010
ukpga 2023 50    # Online Safety Act 2023
ukpga 2006 46    # Companies Act 2006
ukpga 1998 42    # Human Rights Act 1998
ukpga 1983 20    # Mental Health Act 1983
ukpga 1989 41    # Children Act 1989
ukpga 1984 60    # Police and Criminal Evidence Act 1984
ukpga 1971 38    # Misuse of Drugs Act 1971
ukpga 1968 60    # Theft Act 1968
ukpga 1979 54    # Sale of Goods Act 1979
ukpga 2015 15    # Consumer Rights Act 2015
ukpga 2015 30    # Modern Slavery Act 2015
ukpga 2010 23    # Bribery Act 2010
ukpga 2008 27    # Climate Change Act 2008
ukpga 2000 36    # Freedom of Information Act 2000
ukpga 2000 11    # Terrorism Act 2000
ukpga 2016 25    # Investigatory Powers Act 2016
ukpga 2005 9     # Mental Capacity Act 2005
ukpga 2012 7     # Health and Social Care Act 2012
ukpga 2014 19    # Pensions Act 2014
ukpga 2006 41    # National Health Service Act 2006
ukpga 2002 32    # Education Act 2002
ukpga 2004 34    # Housing Act 2004
ukpga 2014 22    # Immigration Act 2014
ukpga 1994 26    # Trade Marks Act 1994
ukpga 2003 21    # Communications Act 2003
ukpga 1996 18    # Employment Rights Act 1996
ukpga 1998 11    # Bank of England Act 1998
ukpga 2007 15    # Serious Crime Act 2007
