ActID,Type
ukpga-2018-12,Content Retrieval
ukpga-2018-12,Version-Specific Content Retrieval
ukpga-2018-12,Version Listing & Inquiry
ukpga-2018-12,Change Retrieval (e)
ukpga-2018-12,Change Retrieval (i)
ukpga-2010-15,Content Retrieval
ukpga-2010-15,Version-Specific Content Retrieval
ukpga-2010-15,Version Listing & Inquiry
ukpga-2010-15,Change Retrieval (e)
ukpga-2010-15,Change Retrieval (i)
ukpga-2023-50,Content Retrieval
ukpga-2023-50,Version-Specific Content Retrieval
ukpga-2023-50,Version Listing & Inquiry
ukpga-2023-50,Change Retrieval (e)
ukpga-2023-50,Change Retrieval (i)
ukpga-1998-42,Content Retrieval
ukpga-1998-42,Version-Specific Content Retrieval
ukpga-1998-42,Version Listing & Inquiry
ukpga-1998-42,Change Retrieval (e)
ukpga-1998-42,Change Retrieval (i)
ukpga-1983-20,Content Retrieval
ukpga-1983-20,Version-Specific Content Retrieval
ukpga-1983-20,Version Listing & Inquiry
ukpga-1983-20,Change Retrieval (e)
ukpga-1983-20,Change Retrieval (i)
ukpga-1989-41,Content Retrieval
ukpga-1989-41,Version-Specific Content Retrieval
ukpga-1989-41,Version Listing & Inquiry
ukpga-1989-41,Change Retrieval (e)
ukpga-1989-41,Change Retrieval (i)
ukpga-1984-60,Content Retrieval
ukpga-1984-60,Version-Specific Content Retrieval
ukpga-1984-60,Version Listing & Inquiry
ukpga-1984-60,Change Retrieval (e)
ukpga-1984-60,Change Retrieval (i)
ukpga-1971-38,Content Retrieval
ukpga-1971-38,Version-Specific Content Retrieval
ukpga-1971-38,Version Listing & Inquiry
ukpga-1971-38,Change Retrieval (e)
ukpga-1971-38,Change Retrieval (i)
ukpga-1968-60,Content Retrieval
ukpga-1968-60,Version-Specific Content Retrieval
ukpga-1968-60,Version Listing & Inquiry
ukpga-1968-60,Change Retrieval (e)
ukpga-1968-60,Change Retrieval (i)
ukpga-1979-54,Content Retrieval
ukpga-1979-54,Version-Specific Content Retrieval
ukpga-1979-54,Version Listing & Inquiry
ukpga-1979-54,Change Retrieval (e)
ukpga-1979-54,Change Retrieval (i)
ukpga-2015-15,Content Retrieval
ukpga-2015-15,Version-Specific Content Retrieval
ukpga-2015-15,Version Listing & Inquiry
ukpga-2015-15,Change Retrieval (e)
ukpga-2015-15,Change Retrieval (i)
ukpga-2015-30,Content Retrieval
ukpga-2015-30,Version-Specific Content Retrieval
ukpga-2015-30,Version Listing & Inquiry
ukpga-2015-30,Change Retrieval (e)
ukpga-2015-30,Change Retrieval (i)
ukpga-2010-23,Content Retrieval
ukpga-2010-23,Version-Specific Content Retrieval
ukpga-2010-23,Version Listing & Inquiry
ukpga-2010-23,Change Retrieval (e)
ukpga-2010-23,Change Retrieval (i)
ukpga-2008-27,Content Retrieval
ukpga-2008-27,Version-Specific Content Retrieval
ukpga-2008-27,Version Listing & Inquiry
ukpga-2008-27,Change Retrieval (e)
ukpga-2008-27,Change Retrieval (i)
ukpga-2000-36,Content Retrieval
ukpga-2000-36,Version-Specific Content Retrieval
ukpga-2000-36,Version Listing & Inquiry
ukpga-2000-36,Change Retrieval (e)
ukpga-2000-36,Change Retrieval (i)
ukpga-2000-11,Content Retrieval
ukpga-2000-11,Version-Specific Content Retrieval
ukpga-2000-11,Version Listing & Inquiry
ukpga-2000-11,Change Retrieval (e)
ukpga-2000-11,Change Retrieval (i)
ukpga-2016-25,Content Retrieval
ukpga-2016-25,Version-Specific Content Retrieval
ukpga-2016-25,Version Listing & Inquiry
ukpga-2016-25,Change Retrieval (e)
ukpga-2016-25,Change Retrieval (i)
ukpga-2005-9,Content Retrieval
ukpga-2005-9,Version-Specific Content Retrieval
ukpga-2005-9,Version Listing & Inquiry
ukpga-2005-9,Change Retrieval (e)
ukpga-2005-9,Change Retrieval (i)
ukpga-2012-7,Content Retrieval
ukpga-2012-7,Version-Specific Content Retrieval
ukpga-2012-7,Version Listing & Inquiry
ukpga-2012-7,Change Retrieval (e)
ukpga-2012-7,Change Retrieval (i)
ukpga-2014-19,Content Retrieval
ukpga-2014-19,Version-Specific Content Retrieval
ukpga-2014-19,Version Listing & Inquiry
ukpga-2014-19,Change Retrieval (e)
ukpga-2014-19,Change Retrieval (i)
ukpga-2006-41,Content Retrieval
ukpga-2006-41,Version-Specific Content Retrieval
ukpga-2006-41,Version Listing & Inquiry
ukpga-2006-41,Change Retrieval (e)
ukpga-2006-41,Change Retrieval (i)
ukpga-2002-32,Content Retrieval
ukpga-2002-32,Version-Specific Content Retrieval
ukpga-2002-32,Version Listing & Inquiry
ukpga-2002-32,Change Retrieval (e)
ukpga-2002-32,Change Retrieval (i)
ukpga-2004-34,Content Retrieval
ukpga-2004-34,Version-Specific Content Retrieval
ukpga-2004-34,Version Listing & Inquiry
ukpga-2004-34,Change Retrieval (e)
ukpga-2004-34,Change Retrieval (i)
ukpga-2014-22,Content Retrieval
ukpga-2014-22,Version-Specific Content Retrieval
ukpga-2014-22,Version Listing & Inquiry
ukpga-2014-22,Change Retrieval (e)
ukpga-2014-22,Change Retrieval (i)
ukpga-1994-26,Content Retrieval
ukpga-1994-26,Version-Specific Content Retrieval
ukpga-1994-26,Version Listing & Inquiry
ukpga-1994-26,Change Retrieval (e)
ukpga-1994-26,Change Retrieval (i)
ukpga-2003-21,Content Retrieval
ukpga-2003-21,Version-Specific Content Retrieval
ukpga-2003-21,Version Listing & Inquiry
ukpga-2003-21,Change Retrieval (e)
ukpga-2003-21,Change Retrieval (i)
ukpga-1996-18,Content Retrieval
ukpga-1996-18,Version-Specific Content Retrieval
ukpga-1996-18,Version Listing & Inquiry
ukpga-1996-18,Change Retrieval (e)
ukpga-1996-18,Change Retrieval (i)
ukpga-1998-11,Content Retrieval
ukpga-1998-11,Version-Specific Content Retrieval
ukpga-1998-11,Version Listing & Inquiry
ukpga-1998-11,Change Retrieval (e)
ukpga-1998-11,Change Retrieval (i)
ukpga-2007-15,Content Retrieval
ukpga-2007-15,Version-Specific Content Retrieval
ukpga-2007-15,Version Listing & Inquiry
ukpga-2007-15,Change Retrieval (e)
ukpga-2007-15,Change Retrieval (i)
